,client id,file transfer round trip (ms)
,Client: 277.0,1.504316 ms
,Client: 278.0,0.561309 ms
,Client: 279.0,0.549301 ms
,Client: 280.0,0.444805 ms
,Client: 281.0,0.475209 ms
,Client: 282.0,0.59069 ms
,Client: 283.0,0.562842 ms
,Client: 284.0,0.514554 ms
,Client: 285.0,0.563096 ms
,Client: 286.0,0.475464 ms
,Client: 287.0,0.522474 ms
,Client: 288.0,0.517875 ms
,Client: 289.0,0.589156 ms
,Client: 290.0,0.505611 ms
,Client: 291.0,0.529372 ms
,Client: 292.0,0.547512 ms
,Client: 293.0,0.557476 ms
,Client: 294.0,0.478785 ms
,Client: 295.0,0.455281 ms
,Client: 296.0,0.559775 ms
,Client: 297.0,0.531161 ms
,Client: 298.0,0.558753 ms
,Client: 299.0,0.651241 ms
,Client: 300.0,0.557987 ms
,Client: 301.0,0.609596 ms
,Client: 302.0,0.579704 ms
,Client: 303.0,0.596055 ms
,Client: 304.0,0.544446 ms
,Client: 305.0,0.543169 ms
,Client: 306.0,0.481851 ms
,Client: 307.0,0.516598 ms
,Client: 308.0,0.560542 ms
,Client: 309.0,0.586091 ms
,Client: 310.0,0.556454 ms
,Client: 311.0,0.526307 ms
,Client: 312.0,0.550833 ms
,Client: 313.0,0.579192 ms
,Client: 314.0,0.441229 ms
,Client: 315.0,0.429732 ms
,Client: 316.0,0.562841 ms
,Client: 317.0,0.463456 ms
,Client: 318.0,0.65635 ms
,Client: 319.0,0.604997 ms
,Client: 320.0,0.589923 ms
,Client: 321.0,0.510211 ms
,Client: 322.0,0.538059 ms
,Client: 323.0,0.554154 ms
,Client: 324.0,0.539081 ms
,Client: 325.0,0.516597 ms
,Client: 326.0,0.530905 ms
,Client: 327.0,0.508166 ms
,Client: 328.0,0.529372 ms
,Client: 329.0,0.457835 ms
,Client: 330.0,0.528862 ms
,Client: 331.0,0.509955 ms
,Client: 332.0,0.514043 ms
,Client: 333.0,0.558242 ms
,Client: 334.0,0.519152 ms
,Client: 335.0,0.521452 ms
,Client: 336.0,0.582258 ms
,Client: 337.0,0.467544 ms
,Client: 338.0,0.503312 ms
,Client: 339.0,0.556965 ms
